Username|Username
Cash desk ID|Cash desk ID
ID|ID
Date time|Date time
Employee ID|Employee ID
Employee name|Employee name
Cash desk ID|Cash desk ID
Show bill|Show bill
Audit bills|Audit bills
Deliverer|Deliverer
Deliverer ID|Deliverer ID
Deliverer name|Deliverer name
Date|Date
Show audit|Show audit
Audit orders|Audit orders
Change password|Change password
User ID|User ID
Old password|Old password
New password|New password
Confirm|Confirm
Change|Change
Create article|Create article
Barcode|Barcode
Name|Name
Price|Price
Amount|Amount
Add|Add
Update|Update
Refresh|Refresh
Delete|Delete
Save|Save
Price x1|Price x1
Price total|Price total
Total|Total
Surname|Surname
Password|Password
Confirm password|Confirm password
Update employee|Update employee
Delete employee|Delete employee
Deliverer|Deliverer
Cash desk|Cash desk
Show bill|Show bill
Update article|Update article
Article(barcode)|Article(barcode)
